msa,violentcrime,murder,rape,robbery,aggravatedassault,propertycrime,burglary,theft,motorvehicletheft,state,city
"Johnson City, TN M.S.A.",302.0,5.5,19.8,30.3,246.5,2428.9,475.1,1851.2,102.7,TN,Johnson City
"Johnstown, PA M.S.A.",199.6,4.4,19.1,32.3,143.8,1633.9,292.0,1303.0,38.9,PA,Johnstown
"Jonesboro, AR M.S.A.",438.4,3.9,78.0,54.6,301.9,3292.9,772.3,2406.7,113.9,AR,Jonesboro
"Joplin, MO M.S.A.",331.3,5.1,52.8,60.1,213.3,3875.6,681.9,2853.4,340.4,MO,Joplin
"Kahului-Wailuku-Lahaina, HI M.S.A.",337.7,2.4,57.0,68.5,209.8,3641.0,610.6,2677.6,352.9,HI,Kahului
"Kalamazoo-Portage, MI M.S.A.",470.6,3.3,87.2,80.4,299.8,2508.8,534.9,1858.9,114.9,MI,Kalamazoo
"Kansas City, MO-KS M.S.A.",535.8,8.4,56.8,123.3,347.3,2945.2,557.4,1981.1,406.8,MO,Kansas City
"Kennewick-Richland, WA M.S.A.",182.3,2.9,36.0,27.5,116.0,2115.7,392.5,1602.2,121.0,WA,Kennewick
"Killeen-Temple, TX M.S.A.",339.5,5.6,67.4,63.5,203.0,2559.9,582.0,1855.2,122.8,TX,Killeen
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",317.7,3.6,36.4,31.2,246.5,2401.1,463.1,1772.8,165.2,TN,Bristol
"Kingston, NY M.S.A.",169.3,0.0,53.4,22.8,93.0,1496.6,227.7,1229.9,39.0,NY,Kingston
"Knoxville, TN M.S.A.",412.2,3.4,32.7,65.4,310.7,2904.4,600.8,2099.5,204.2,TN,Knoxville
"Kokomo, IN M.S.A.",579.7,3.6,30.1,96.4,449.5,2309.2,611.0,1598.1,100.0,IN,Kokomo
"La Crosse-Onalaska, WI-MN M.S.A.",116.5,1.5,21.1,13.8,80.1,2179.9,316.6,1808.0,55.3,WI,La Crosse
"Lafayette, LA M.S.A.",404.5,7.8,18.4,79.8,298.5,3146.1,668.8,2253.4,223.8,LA,Lafayette
"Lafayette-West Lafayette, IN M.S.A.",292.0,1.9,36.0,59.3,194.8,2509.3,503.6,1847.3,158.4,IN,Lafayette
"Lake Charles, LA M.S.A.2",628.6,4.4,63.1,95.3,465.9,4217.7,1503.7,2485.2,228.8,LA,Lake Charles
"Lake Havasu City-Kingman, AZ M.S.A.",201.0,2.0,26.9,27.9,144.2,2877.0,679.2,2027.7,170.2,AZ,Lake Havasu City
"Lakeland-Winter Haven, FL M.S.A.",339.7,3.9,33.1,59.1,243.6,2472.1,568.0,1733.2,170.9,FL,Lakeland
"Lancaster, PA M.S.A.",180.4,3.0,42.5,51.1,83.9,1422.0,212.1,1164.3,45.5,PA,Lancaster
"Lansing-East Lansing, MI M.S.A.",425.0,3.6,70.7,70.5,280.2,1873.3,423.5,1319.3,130.5,MI,Lansing
"Laredo, TX M.S.A.",385.6,2.9,54.2,61.9,266.5,3287.4,419.5,2746.9,120.9,TX,Laredo
"Las Cruces, NM M.S.A.",261.3,2.8,38.8,31.8,187.9,3085.5,561.4,2353.5,170.6,NM,Las Cruces
"Las Vegas-Henderson-Paradise, NV M.S.A.",815.0,6.9,63.3,273.0,471.8,2817.8,868.9,1499.1,449.7,NV,Las Vegas
"Lawton, OK M.S.A.",744.2,7.6,46.5,163.2,526.9,3636.9,1008.7,2422.3,205.9,OK,Lawton
"Lebanon, PA M.S.A.",185.4,2.9,18.3,31.4,132.9,1549.1,256.2,1208.2,84.7,PA,Lebanon
"Lewiston, ID-WA M.S.A.",213.8,6.4,54.3,28.7,124.5,3019.1,647.9,2176.6,194.7,ID,Lewiston
"Lewiston-Auburn, ME M.S.A.",138.0,0.0,39.2,28.9,69.9,1774.1,353.3,1349.9,70.9,ME,Lewiston
"Lexington-Fayette, KY M.S.A.",256.3,4.0,43.7,118.8,89.8,3487.4,698.2,2538.9,250.3,KY,Lexington
"Lima, OH M.S.A.",388.5,2.9,57.3,97.4,231.0,3369.8,815.2,2429.5,125.1,OH,Lima
"Lincoln, NE M.S.A.",330.0,0.3,65.3,67.1,197.3,2954.3,442.9,2391.6,119.7,NE,Lincoln
"Little Rock-North Little Rock-Conway, AR M.S.A.",724.7,8.6,52.3,136.7,527.2,4125.5,809.2,3023.2,293.1,AR,Little Rock
"Logan, UT-ID M.S.A.",61.6,0.8,33.1,2.3,25.5,1201.2,208.1,950.3,42.8,UT,Logan
"Longview, TX M.S.A.",430.8,10.1,52.1,71.8,296.8,3324.2,749.1,2335.1,240.1,TX,Longview
"Longview, WA M.S.A.",301.6,2.0,65.4,52.7,181.6,3182.4,624.8,2284.3,273.3,WA,Longview
"Los Angeles-Long Beach-Anaheim, CA M.S.A.",431.9,4.9,35.1,149.1,242.8,2308.1,418.5,1496.1,393.5,CA,Los Angeles
"Anaheim-Santa Ana-Irvine, CA M.D.",227.4,1.8,24.4,70.4,130.7,2148.9,330.6,1545.3,273.0,CA,Anaheim
"Los Angeles-Long Beach-Glendale, CA M.D.",495.7,5.8,38.4,173.7,277.8,2357.7,445.9,1480.8,431.1,CA,Los Angeles
"Louisville/Jefferson County, KY-IN M.S.A.",422.9,7.5,26.2,143.8,245.4,3258.0,683.7,2235.8,338.5,KY,Louisville
"Lubbock, TX M.S.A.",825.4,5.5,70.7,147.8,601.4,4529.4,966.8,3223.1,339.6,TX,Lubbock
"Lynchburg, VA M.S.A.",180.4,3.5,29.0,27.9,120.0,1455.2,230.3,1155.7,69.3,VA,Lynchburg
"Macon-Bibb County, GA M.S.A.",319.9,9.5,24.3,118.5,167.5,3578.0,858.6,2429.0,290.4,GA,Macon
"Madera, CA M.S.A.",552.6,2.6,24.5,79.9,445.7,2384.8,714.9,1327.3,342.6,CA,Madera
"Madison, WI M.S.A.",211.9,2.7,29.7,46.8,132.7,1956.7,310.1,1580.9,65.7,WI,Madison
"Manchester-Nashua, NH M.S.A.",281.4,3.2,46.7,70.3,161.1,1923.7,287.0,1547.0,89.8,NH,Manchester
