,unitid,opeid,opeid6,instnm,city,stabbr,zip,cip11bachl,violentcrime,propertycrime,state,crimescore
136,131308,1195000,11950,Corcoran College of Art and Design,Washington,DC,20006-4804,1.0,356.0,2027.9,DC,857.5699999999999
661,222983,354300,3543,Austin College,Sherman,TX,75090-4400,1.0,327.1,2123.4,TX,865.99
104,406006,2098803,20988,University of Phoenix-Bay Area Campus,San Jose,CA,95134-1805,2.0,251.5,2316.7,CA,871.0599999999998
103,122755,115500,1155,San Jose State University,San Jose,CA,95192-0001,2.0,251.5,2316.7,CA,871.0599999999998
728,234030,373500,3735,Virginia Commonwealth University,Richmond,VA,23284-2512,2.0,236.5,2351.7,VA,871.0599999999998
729,234164,376600,3766,Virginia Union University,Richmond,VA,23220,1.0,236.5,2351.7,VA,871.0599999999998
730,437051,10732904,7329,ITT Technical Institute-Richmond,Richmond,VA,23235-5139,1.0,236.5,2351.7,VA,871.0599999999998
179,132851,147100,1471,College of Central Florida,Ocala,FL,34474,1.0,363.1,2096.6,FL,883.1499999999999
180,138309,869410,8694,Rasmussen College-Florida,Ocala,FL,34474-6226,2.0,363.1,2096.6,FL,883.1499999999999
522,200332,299700,2997,North Dakota State University-Main Campus,Fargo,ND,58108-6050,2.0,249.3,2403.4,ND,895.53
521,200013,869408,8694,Rasmussen College-North Dakota,Fargo,ND,58103-7196,2.0,249.3,2403.4,ND,895.53
790,451705,2594303,25943,College America-Cheyenne,Cheyenne,WY,82009,1.0,177.4,2581.9,WY,898.75
326,151102,182800,1828,Indiana University-Purdue University-Fort Wayne,Fort Wayne,IN,46805-1499,2.0,288.0,2328.3,IN,900.09
327,151290,180500,1805,Indiana Institute of Technology,Fort Wayne,IN,46803-1228,2.0,288.0,2328.3,IN,900.09
328,151458,457900,4579,International Business College-Fort Wayne,Fort Wayne,IN,46804-7145,1.0,288.0,2328.3,IN,900.09
330,408039,4051322,40513,Brown Mackie College-Fort Wayne,Fort Wayne,IN,46805,1.0,288.0,2328.3,IN,900.09
329,151500,732993,7329,ITT Technical Institute-Fort Wayne,Fort Wayne,IN,46825,1.0,288.0,2328.3,IN,900.09
112,456834,464203,4642,Globe University-Minneapolis,Minneapolis,MN,55402,1.0,285.2,2367.5,MN,909.89
105,125231,2504200,25042,Walden University,Minneapolis,MN,55401,2.0,285.2,2367.5,MN,909.89
106,172866,2050300,20503,Academy College,Minneapolis,MN,55420-1554,2.0,285.2,2367.5,MN,909.89
108,173887,1024800,10248,The Art Institutes International-Minnesota,Minneapolis,MN,55402,1.0,285.2,2367.5,MN,909.89
107,173045,233400,2334,Augsburg College,Minneapolis,MN,55454,2.0,285.2,2367.5,MN,909.89
110,175227,464100,4641,Dunwoody College of Technology,Minneapolis,MN,55403-1192,1.0,285.2,2367.5,MN,909.89
111,413413,3267300,32673,Capella University,Minneapolis,MN,55402-3389,2.0,285.2,2367.5,MN,909.89
109,174066,396900,3969,University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,2.0,285.2,2367.5,MN,909.89
306,143358,164100,1641,Bradley University,Peoria,IL,61625-0001,1.0,358.2,2222.7,IL,917.55
307,147165,456800,4568,Midstate College,Peoria,IL,61614-3595,2.0,358.2,2222.7,IL,917.55
527,200785,962105,9621,Akron Institute of Herzing University,Akron,OH,44306-3931,2.0,238.4,2552.4,OH,932.6
528,200800,312300,3123,University of Akron Main Campus,Akron,OH,44325-4702,2.0,238.4,2552.4,OH,932.6
529,205647,4051308,40513,Brown Mackie College-Akron,Akron,OH,44320,1.0,238.4,2552.4,OH,932.6
530,459611,10732901,7329,ITT Technical Institute-Akron,Akron,OH,44333,1.0,238.4,2552.4,OH,932.6
644,459648,10732926,7329,ITT Technical Institute-Johnson City,Johnson City,TN,37615,1.0,302.0,2428.9,TN,940.0699999999999
643,220075,348700,3487,East Tennessee State University,Johnson City,TN,37614-0000,2.0,302.0,2428.9,TN,940.0699999999999
645,220516,349600,3496,King University,Bristol,TN,37620-2699,2.0,317.7,2401.1,TN,942.7199999999999
19,101879,101600,1016,University of North Alabama,Florence,AL,35632-0001,2.0,305.0,2442.4,AL,946.22
336,151360,181500,1815,Indiana University-Northwest,Gary,IN,46408-1197,2.0,268.9,2560.7,IN,956.4399999999998
335,151351,180900,1809,Indiana University-Bloomington,Bloomington,IN,47405-7000,2.0,277.7,2557.1,IN,961.52
682,228246,361300,3613,Southern Methodist University,Dallas,TX,75275-0221,1.0,330.6,2434.0,TX,961.6199999999999
676,224226,356000,3560,Dallas Baptist University,Dallas,TX,75211-9299,2.0,330.6,2434.0,TX,961.6199999999999
680,227429,360200,3602,Paul Quinn College,Dallas,TX,75241,2.0,330.6,2434.0,TX,961.6199999999999
678,224776,1303912,13039,South University-The Art Institute of Dallas,Dallas,TX,75231-5993,1.0,330.6,2434.0,TX,961.6199999999999
202,134079,148800,1488,Florida Southern College,Lakeland,FL,33801-5698,1.0,339.7,2472.1,FL,979.42
703,228723,363200,3632,Texas A & M University-College Station,College Station,TX,77843-1244,2.0,315.5,2544.7,TX,984.26
546,204316,4051326,40513,Brown Mackie College-North Canton,Canton,OH,44718,1.0,323.7,2568.2,OH,997.05
545,203775,307200,3072,Malone University,Canton,OH,44709-3897,2.0,323.7,2568.2,OH,997.05
681,228246,361300,3613,Southern Methodist University,Dallas,TX,75275-0221,1.0,337.6,2554.3,TX,1002.6100000000001
675,224226,356000,3560,Dallas Baptist University,Dallas,TX,75211-9299,2.0,337.6,2554.3,TX,1002.6100000000001
679,227429,360200,3602,Paul Quinn College,Dallas,TX,75241,2.0,337.6,2554.3,TX,1002.6100000000001
677,224776,1303912,13039,South University-The Art Institute of Dallas,Dallas,TX,75231-5993,1.0,337.6,2554.3,TX,1002.6100000000001
700,226806,979700,9797,Midland College,Midland,TX,79705,1.0,322.3,2590.8,TX,1002.85
631,402615,1014804,10148,Colorado Technical University-Sioux Falls,Sioux Falls,SD,57108-2272,1.0,363.7,2503.3,SD,1005.5799999999999
630,219383,346900,3469,University of Sioux Falls,Sioux Falls,SD,57105-1699,2.0,363.7,2503.3,SD,1005.5799999999999
629,219213,405707,4057,National American University-Sioux Falls,Sioux Falls,SD,57108-4293,2.0,363.7,2503.3,SD,1005.5799999999999
628,219000,345800,3458,Augustana College,Sioux Falls,SD,57197-0001,1.0,363.7,2503.3,SD,1005.5799999999999
